Redox | L-03 | Balancing of Redox Reaction : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373820851112/6373820851112.m3u8
Redox | L-04 | Titration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373896985112/6373896985112.m3u8
Redox | L-05 | n-factor Calculation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373987655112/6373987655112.m3u8
Redox | L-06 | n-factor Calculation : https://www.youtube.com/embed/VDjwEq4XwRw
Redox | L - 07 | DPP Discussion and Titration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374175498112/6374175498112.m3u8
Redox | L - 08 | Titration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374278400112/6374278400112.m3u8
Redox | L - 09 | Titration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374438726112/6374438726112.m3u8
Redox | L - 10 | Double Indicator Titration : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374569597112/6374569597112.m3u8
Redox | L - 11 | Hardness of Water : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374655660112/6374655660112.m3u8
Redox | L-12 | Hardness of Water : https://www.youtube.com/embed/EtZVM7o2XUM
Thermodynamics | L-01 | Introduction : https://www.youtube.com/embed/5_c3yCI7cDg
Thermodynamics | L-02 | Basic of Thermodynamics : https://www.youtube.com/embed/LgdIe5jP_p4
Thermodynamics | L-03 | Internal Energy of System : https://www.youtube.com/embed/8At2yAOLHDg
Thermodynamics | L-04 | Law's of Thermodynamics : https://www.youtube.com/embed/ZsDVpjqFrOE
Thermodynamics | L-05 | Internal Energy and Enthalpy : https://www.youtube.com/embed/YRvuZvKTXTE
Thermodynamics | L-06 | Kirchhoff's law : https://www.youtube.com/embed/xCloeWlGuis
Thermodynamics | L-07 | Calculation of Work Done : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4480745/175232501372441590324/175232501372441590324_1590324.m3u8
Thermodynamics | L-08 | Adiabatic Process : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4482868/175258397728101561360/175258397728101561360_1561360.m3u8
