[Complete Syllabus] - 3rd Grade 1st level B-02 || Complete Syllabus(Q1-62) || GK || 12-February : https://apps-s3-video-dist.utkarshapp.com/v1/file_manager/videos/vod/2475996/482733607168798300_gallery.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-3 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 08-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9rhU4nx486q/video.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-4 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 10-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B4PEKHRFsRP/video.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-5 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 11-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/552ztpZYDeZ/video.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-6 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 12-March : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2485579/utk-25/1741759664/index.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-7 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 17-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5EDmDG8RNa2/video.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-8 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 18-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9AkEgmGAuDC/video.m3u8
[Index Numbers (सूचकांक संख्या)] - Part-1 || Index Numbers (सूचकांक संख्या) || 19-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5EZGURSFTNM/video.m3u8
[Index Numbers (सूचकांक संख्या)] - Part-2 || Index Numbers (सूचकांक संख्या) || 20-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6keQum28t5A/video.m3u8
[Index Numbers (सूचकांक संख्या)] - Part-3 || Index Numbers (सूचकांक संख्या) || 21-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4ag6N7GKMX3/video.m3u8
[Probability Theory (संभाव्यता सिद्धांत)] - Part-1 || Probability Theory (संभाव्यता सिद्धांत) || 22-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Ab88Bmb8FGC/video.m3u8
[Probability Theory (संभाव्यता सिद्धांत)] - Part-2 || Probability Theory (संभाव्यता सिद्धांत) || 23-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6PhMUub55yD/video.m3u8
[Probability Theory (संभाव्यता सिद्धांत)] - Part-3 || Probability Theory (संभाव्यता सिद्धांत) || 24-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9M7c5CMDT4f/video.m3u8
[Probability Theory (संभाव्यता सिद्धांत)] - Part-4 || Probability Theory (संभाव्यता सिद्धांत) || 25-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4ZfskCKUHRm/video.m3u8
[Probability Theory (संभाव्यता सिद्धांत)] - Part-5 || Probability Theory (संभाव्यता सिद्धांत) || 26-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6z8bZ8HBCZQ/video.m3u8
[Probability Theory (संभाव्यता सिद्धांत)] - Part-6 || Probability Theory (संभाव्यता सिद्धांत) || 27-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/75FunqjKU37/video.m3u8
[Probability Theory (संभाव्यता सिद्धांत)] - Part-7 || Probability Theory (संभाव्यता सिद्धांत) || 28-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4NfnbeAYEzc/video.m3u8
[Statistical Inference (सांख्यिकीय निष्कर्ष)] - Part-1 || Statistical Inference (सांख्यिकीय निष्कर्ष) || 29-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/56jUfEFezzN/video.m3u8
