(Course Information and Syllabus) Live Interaction With Akshay Sir and Team || 11 February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2451536/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || राजस्थान की पारंपरिक वेशभूषा और आभूषण || 01-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2258008/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || राजस्थान की पारंपरिक वेशभूषा और आभूषण || 01-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2258009/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-3 || राजस्थान की पारंपरिक वेशभूषा और आभूषण || 01-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2258295/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || राजस्थान की प्रमुख हस्तकला || 03-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2259813/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || राजस्थान की प्रमुख हस्तकला || 04-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2261429/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || राजस्थान के लोक नृत्य || 06-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2264348/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || राजस्थान के लोक नृत्य || 07-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2265285/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-3 || राजस्थान के लोक नृत्य || 08-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2266660/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-4 || राजस्थान के लोक नृत्य || 09-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2267632/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-5 || राजस्थान के लोक नृत्य || 10-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2268549/plain/720x1280.mp4
