[मानव रोग (Human Disease)] - Part-2 || मानव रोग (Human Disease) || 26-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9nUkyXTYYK9/video.m3u8
[मानव रोग (Human Disease)] - Part-3 || मानव रोग (Human Disease) || 27-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3JTe976Qz6p/video.m3u8
[मानव रोग (Human Disease)] - Part-4 || मानव रोग (Human Disease) || 28-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4bqjqQPmHGE/video.m3u8
[मानव रोग (Human Disease)] - Part-5 || मानव रोग (Human Disease) || 01-April : https://apps-s3-video-dist.utkarshapp.com/v1/file_manager/videos/vod/2506022/29544047829559016_video_2506022.m3u8
[मानव रोग (Human Disease)] - Part-6 || मानव रोग (Human Disease) || 02-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3z6gdhD8y89/video.m3u8
[मानव रोग (Human Disease)] - Part-7 || मानव रोग (Human Disease) || 03-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5ZegXbdqfUu/video.m3u8
[मानव रोग (Human Disease)] - Part-8 || मानव रोग (Human Disease) || 04-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8cdUyRTcJpr/video.m3u8
[मानव रोग (Human Disease)] - Part-9 || मानव रोग MCQ (Human Disease) || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4SAMu6ck77H/video.m3u8
[रक्त परिसंचरण तंत्र (Blood Circulation System)] - Part-1 || रक्त परिसंचरण तंत्र (Blood Circulation System) || 11-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/KTYu9meTGKP/video.m3u8
[रक्त परिसंचरण तंत्र (Blood Circulation System)] - Part-2 || रक्त परिसंचरण तंत्र (Blood Circulation System) || 12-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6fKHtTEMRQK/video.m3u8
[रक्त परिसंचरण तंत्र (Blood Circulation System)] - Part-3 || रक्त परिसंचरण तंत्र (Blood Circulation System) || 14-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6sTZtp6XDuB/video.m3u8
[रक्त परिसंचरण तंत्र (Blood Circulation System)] - Part-4 || रक्त परिसंचरण तंत्र (Blood Circulation System) || 16-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9Pke6AFzEZZ/video.m3u8
[कंकाल तंत्र (Skeleton System)] - Part-1 || कंकाल तंत्र (Skeleton System) || 17-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2527615/utk-61/1744875144/index.m3u8
[प्रजनन तंत्र(Reproductive System)] - Part-1 || प्रजनन तंत्र (Reproductive System)  || 18-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BkUT3yehqju/video.m3u8
[प्रजनन तंत्र(Reproductive System)] - Part-2 || प्रजनन तंत्र (Reproductive System) || 19-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4XMAtcJ44pJ/video.m3u8
[अंतःस्रावी तंत्र(Endocrine System)] - Part-1 || अंतःस्रावी तंत्र (Endocrine System) || 21-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8rkUeGUfhb7/video.m3u8
[अंतःस्रावी तंत्र(Endocrine System)] - Part-2 || अंतःस्रावी तंत्र (Endocrine System) || 22-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3ygbEbmhUPg/video.m3u8
[पाचन तंत्र (Digestive System)] - Part-1 || पाचन तंत्र (Digestive System) || 23-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9HRRYB6PmE4/video.m3u8
[पाचन तंत्र (Digestive System)] - Part-2 || पाचन तंत्र (Digestive System) || 24-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3qKSU8tNX4Z/video.m3u8
[श्वसन तंत्र(Respiratory System)] - Part-1 || श्वसन तंत्र (Respiratory System) || 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9pnajePQhJg/video.m3u8
[श्वसन तंत्र(Respiratory System)] - Part-2 || श्वसन तंत्र (Respiratory System) || 26-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/p5ynKRxSbZ3/video.m3u8
[मानव उत्सर्जन तंत्र (Human Excretory System)] - Part-1 || मानव उत्सर्जन तंत्र (Human Excretory System) || 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6jtA2mPJnG9/video.m3u8
[तंत्रिका तंत्र (Nervous System)] - Part-1 || तंत्रिका तंत्र (Nervous System) || 30-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B4QBjp9HzPb/video.m3u8
[तंत्रिका तंत्र (Nervous System)] - Part-2 || तंत्रिका तंत्र (Nervous System) || 01-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/ufzbSX5E7eq/video.m3u8
[कोशिका विज्ञान] - Part-1 || कोशिका विज्ञान || 07-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7rPBdGZTzU4/video.m3u8
[कोशिका विज्ञान] - Part-2 || कोशिका विज्ञान || 08-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7QRyETz8Dmn/video.m3u8
[मानव शरीर के तंत्र (Human Body System)] - Part-1 || मानव शरीर के तंत्र (Human Body System) [MCQ-1] || 02-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6KacNYqzS2M/video.m3u8
[मानव शरीर के तंत्र (Human Body System)] - Part-2 || मानव शरीर के तंत्र (Human Body System) [MCQ-2] || 03-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BbJcnnMpZJs/video.m3u8
[मानव में पोषण] - Part-1 || मानव में पोषण || 05-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/HUrXzsGd5nF/video.m3u8
[मानव में पोषण] - Part-2 || मानव में पोषण || 06-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4xDYDTjykHZ/video.m3u8
[मानव में पोषण] - Part-3 || मानव में पोषण || 07-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4kNkpJEyts2/video.m3u8
[मानव में पोषण] - Part-4 || मानव में पोषण || 08-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3NcXN3GFHpC/video.m3u8
[ऊष्मा और ताप] - Part-1 || ऊष्मा तथा ताप || 09-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5HyhkAYkHy5/video.m3u8
[ऊष्मा और ताप] - Part-2 || ऊष्मा तथा ताप || 10-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9Fqd7sXrF3m/video.m3u8
[ऊष्मा और ताप] - Part-3 || ऊष्मा तथा ताप || 13-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/92g3qQrr6Ur/video.m3u8
[गुरुत्वाकर्षण (Gravitation)] - Part-1 || गुरुत्वाकर्षण (Gravitation) || 14-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/A2GGJkUQFcj/video.m3u8
[विज्ञान की प्रमुख शाखाएं] - Part-1 || विज्ञान की प्रमुख शाखाएं || 15-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/C7kF9dX2Rn9/video.m3u8
[जंतु जगत का वर्गीकरण] - Part-1 || जंतु जगत का वर्गीकरण || 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/49RYgUpaH4g/video.m3u8
