[Advance] Class- 1 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362431436112/6362431436112.m3u8
[Advance] Class-35 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362434867112/6362434867112.m3u8
[Advance] Class-02 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362487432112/6362487432112.m3u8
[Advance] Class-36 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362489489112/6362489489112.m3u8
[Advance] Class-03 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362538601112/6362538601112.m3u8
[Advance] Class-37 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362542621112/6362542621112.m3u8
[Advance] Class-38 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362595023112/6362595023112.m3u8
[Advance] Class-04 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362666926112/6362666926112.m3u8
[Advance] Class-39 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362668502112/6362668502112.m3u8
[Advance] Class-05 || Calculation and Simplification: : https://youtu.be/Pq2WwLOwY7I
[Advance] Class-40 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362712358112/6362712358112.m3u8
[Advance] Class-06 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362792661112/6362792661112.m3u8
[Advance] Class-07 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362936431112/6362936431112.m3u8
[Advance] Class-41 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362939649112/6362939649112.m3u8
[Advance] Class-08 || Calculation and Simplification: : https://youtu.be/2rarQAGU21g
[Advance] Class-42 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362981529112/6362981529112.m3u8
[Advance] Class-09 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363023224112/6363023224112.m3u8
[Advance] Class-43 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363027509112/6363027509112.m3u8
[Advance] Class-10 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363069340112/6363069340112.m3u8
[Advance] Class-44 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363070696112/6363070696112.m3u8
[Advance] Class-11 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363115199112/6363115199112.m3u8
[Advance] Class-45 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363119293112/6363119293112.m3u8
[Advance] Class-46 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363237797112/6363237797112.m3u8
[Advance] Class-12 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363278298112/6363278298112.m3u8
[Advance] Class-47 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363281174112/6363281174112.m3u8
[Advance] Class-13 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363326694112/6363326694112.m3u8
[Advance] Class-48 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363329631112/6363329631112.m3u8
[Advance] Class-49 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363373650112/6363373650112.m3u8
[Advance] Class-14 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363546241112/6363546241112.m3u8
[Advance] Class-50 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363548796112/6363548796112.m3u8
[Advance] Class-15 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363585662112/6363585662112.m3u8
[Advance] Class-51 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363589499112/6363589499112.m3u8
[Advance] Class- 16 || Calculation and Simplification: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363624573112/6363624573112.m3u8
[Advance] Class-52 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363636282112/6363636282112.m3u8
[Advance] Class-53 || Geometry: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6363685937112/6363685937112.m3u8
[Advance] Class-1 || Probability: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6339437874112/6339437874112.m3u8
[Advance] Class-2 || Probability: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6340138831112/6340138831112.m3u8
[Advance] Class-3 || Probability: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6340139588112/6340139588112.m3u8
[Advance] Class-1 || Permutation and Combination: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6339252994112/6339252994112.m3u8
[Advance] Class-2 || Permutation and Combination: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6339260826112/6339260826112.m3u8
[Advance] Class-3 || Permutation and Combination: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6339379028112/6339379028112.m3u8
[Advance] Class-1 || Statistics: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6338835510112/6338835510112.m3u8
[Advance] Class-2 || Statistics: : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6338849498112/6338849498112.m3u8
